rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month,release_date,duration
1,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,1,29,1178606,1,2023-11-03,184.0
2,"Wren Evans, itsnk",Từng Quen,Universal Music Indochina,1,2,14,1087520,1,2023-12-17,175.0
3,"Wren Evans, itsnk",Tò Te Tí,Universal Music Indochina,3,4,7,1036739,1,2023-12-17,195.0
4,"VSOUL, RPT MCK, Obito, Ronboogz, Boyzed","Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)",12 trái lê,3,5,6,919584,1,2023-12-25,292.0
5,"Vũ., Dear Jane",Những Lời Hứa Bỏ Quên,WM Vietnam,1,3,7,856107,1,2023-12-14,236.0
6,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,6,13,803997,1,2023-11-03,206.0
7,V,Love Me Again,BIGHIT MUSIC,2,7,25,787011,1,2023-08-11,182.0
8,"Kai Đinh, GREY D, Hoàng Thùy Linh",Trái đất ôm Mặt trời,Yin Yang Media,8,8,6,779397,1,2023-12-18,195.0
9,Jimin,Like Crazy,BIGHIT MUSIC,1,9,45,757913,1,2023-03-24,212.0
10,"RHYDER, CoolKid, BAN",Chịu Cách Mình Nói Thua,RHYDER,6,10,10,753971,1,2023-11-22,182.0
11,"Wren Evans, itsnk",Phóng Đổ Tim Em,Universal Music Indochina,10,12,7,690217,1,2023-12-17,134.0
12,"MONO, Onionn.",Em Xinh,M Music Records,10,11,5,650436,1,2023-11-30,183.0
13,Low G,Simp Gái 808,Rap Nhà Làm,9,14,16,597769,1,2023-10-18,162.0
14,"Wren Evans, itsnk",bé ơi từ từ,Universal Music Indochina,8,13,7,591441,1,2023-12-17,201.0
15,"RPT MCK, Trung Trần",Chìm Sâu,N0L4B3L,1,16,101,582379,1,2023-03-02,156.0
16,"WEAN, tlinh",shhhhhhh..,WEAN,9,15,17,541317,1,2023-10-07,231.0
17,"tlinh, 2pillz",nếu lúc đó,Universal Music Indochina Distributed Labels,1,20,48,540375,1,2023-08-16,264.0
18,"Karik, GDucky",Bạn Đời,WM Vietnam,5,17,18,527219,1,2023-10-04,301.0
19,RPT MCK,Anh Đã Ổn Hơn,N0L4B3L,3,21,48,516473,1,2023-03-02,194.0
20,"Obito, Shiki, RPT MCK",Đánh Đổi,12 trái lê,7,23,17,486506,1,2023-10-10,227.0
21,"The Masked Singer, Lâm Bảo Ngọc, Hứa Kim Tuyền",Rồi Em Sẽ Gặp Một Chàng Trai Khác,THE MASKED SINGER,15,19,11,481458,1,2023-11-12,304.0
22,Phương Ly,Anh Là Ngoại Lệ Của Em,WM Vietnam,7,22,17,477306,1,2023-10-05,188.0
23,"Obito, Shiki, VSTRA",Hà Nội,12 trái lê,11,24,17,458177,1,2023-10-10,166.0
24,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,24,31,16,447416,1,2023-10-16,202.0
25,"Vũ Phụng Tiên, DT Tập Rap, Drum7",Lệ Lưu Ly,Big Arts Entertainment,6,26,19,444126,1,2023-09-20,201.0
26,"Andree Right Hand, RHYDER, WOKEUP",Dân Chơi Sao Phải Khóc,$maker Music,16,18,4,441511,1,2024-01-05,211.0
27,HIEUTHUHAI,Không Thể Say,M Music Records,7,37,41,439098,1,2023-10-16,228.0
28,"Wren Evans, itsnk",Call Me,Universal Music Indochina,12,28,25,434991,1,2023-12-17,215.0
29,"RPT MCK, tlinh",Chỉ Một Đêm Nữa Thôi,N0L4B3L,9,32,48,434649,1,2023-03-02,142.0
30,"Wren Evans, itsnk",Cầu Vĩnh Tuy,Universal Music Indochina,16,25,7,427826,1,2023-12-17,152.0
31,"GREY D, tlinh",vaicaunoicokhiennguoithaydoi,M Music Records,2,30,85,426475,1,2022-06-20,226.0
32,"CoolKid, RHYDER",Sau Cơn Mưa,MaiDao Music,28,29,22,423272,1,2023-07-28,155.0
33,"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),Yin Yang Media,3,39,113,414582,1,2021-12-01,208.0
34,Kha,Hư không,MaiDao Music,34,40,3,410514,1,2023-12-14,355.0
35,"Madihu, Vũ.",Vì Anh Đâu Có Biết,WM Vietnam,2,35,78,407162,1,2022-08-04,242.0
36,W/N,id 072019,Universal Music Indochina Distributed Labels,3,36,27,400229,1,2023-07-31,272.0
37,"RPT Orijinn, Ronboogz",Don't Côi,Rapital,3,27,58,399435,1,2022-11-20,149.0
38,Ronboogz,nhắn nhủ,MaiDao Music,36,38,7,395325,1,2023-12-12,241.0
39,"Low G, Thắng",An Thần,Rap Nhà Làm,2,33,119,381879,1,2021-10-21,174.0
40,Minh Huy,Miên Man,LOOPS Music,11,41,22,373676,1,2022-06-24,198.0
41,HIEUTHUHAI,NOLOVENOLIFE,M Music Records,24,45,16,370392,1,2023-10-16,171.0
42,"52Hz, RIO",ĐỢI (Prod. RIO),DAO Entertainment,42,47,4,365126,1,2023-12-15,197.0
43,"GREY D, Chillies",đưa em về nhàa,M Music Records,3,48,41,360776,1,2023-04-24,240.0
44,Olew,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,LOOPS Music,8,49,54,351259,1,2023-01-02,279.0
45,V,Slow Dancing,BIGHIT MUSIC,2,34,20,349689,1,2023-09-08,187.0
46,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,2,42,18,346748,1,2023-10-02,202.0
47,"Kuun Đức Nam, Linh Thộn",Tình cờ yêu em,MaiDao Music,12,46,23,341917,1,2023-06-10,258.0
48,"Đen, JustaTee",Đi Về Nhà,Đen,3,60,163,330701,1,2020-12-20,200.0
49,"Wxrdie, Andree Right Hand, Machiot",TETVOVEN,M Music Records,39,43,9,329429,1,2023-12-03,197.0
50,"GREY D, HIEUTHUHAI, Wren Evans, Obito",Dám Rực Rỡ,Universal Music Indochina,50,-1,1,321736,1,2024-01-25,229.0
51,"tlinh, Trung Trần",Thích Quá Rùi Nà,Universal Music Indochina Distributed Labels,34,53,176,316677,1,2023-07-14,178.0
52,"Da LAB, Phương Ly",Chạy Khỏi Thế Giới Này,LOOPS Music,11,50,83,315506,1,2022-06-30,255.0
53,GREY D,dự báo thời tiết hôm nay mưa,M Music Records,7,56,63,314352,1,2022-11-22,281.0
54,"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Yin Yang Media,5,54,162,312660,1,2020-12-29,234.0
55,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,11,51,32,305255,1,2023-06-23,245.0
56,RPT MCK,Tại Vì Sao,N0L4B3L,3,59,71,301101,1,2023-03-02,203.0
57,"RPT MCK, Trung Trần",Thôi Em Đừng Đi,N0L4B3L,8,58,48,297228,1,2023-03-02,173.0
58,"Madihu, Low G",Có Em,NGUYEN CHI PHONG,4,52,93,296319,1,2022-04-22,219.0
59,Wren Evans,Thích Em Hơi Nhiều,Universal Music Indochina,1,57,137,291157,1,2021-06-18,172.0
60,Ronboogz,Lan Man,MaiDao Music,33,55,42,288726,1,2023-03-25,216.0
61,"Binz, Nomovodka",Hit Me Up (feat. Nomovodka),Spacespeakers,4,44,15,286278,1,2023-10-19,268.0
62,"HIEUTHUHAI, Negav, Kewtiie",ngủ một mình (tình rất tình),M Music Records,2,70,59,277385,1,2022-12-15,192.0
63,Andree Right Hand,Chơi Như Tụi Mỹ,$maker Music,4,64,37,267280,1,2022-12-30,161.0
64,T.R.I,Ánh Sao Và Bầu Trời,Yin Yang Media,1,62,117,261327,1,2021-09-10,261.0
65,Mitski,My Love Mine All Mine,Dead Oceans,30,61,17,249430,1,2023-09-15,138.0
66,"MONSTAR, GREY D, NICKY, VƯƠNG BÌNH",tình yêu chậm trễ,Yin Yang Media,46,68,60,249263,1,2021-08-01,245.0
67,HIEUTHUHAI,Nghe Như Tình Yêu,M Music Records,46,72,124,245842,1,2021-07-09,193.0
68,"JustaTee, Phương Ly",Thằng Điên,NGUYEN THANH TUAN,2,67,78,244000,1,2022-07-11,234.0
69,"Low G, Obito, WOKEUP",Phong Long,Universal Music Indochina Distributed Labels,69,103,2,243984,1,2024-01-20,281.0
70,The Masked Singer,Khóa Ly Biệt,THE MASKED SINGER,53,65,12,243361,1,2023-11-05,312.0
71,"JSOL, Hoàng Duyên",Sài Gòn Hôm Nay Mưa,Universal Music Indochina,3,69,140,239558,1,2021-05-29,247.0
72,"MONSTAR, GREY D, VƯƠNG BÌNH",có hẹn với thanh xuân,Yin Yang Media,5,77,133,234552,1,2021-08-01,218.0
73,"Andree Right Hand, Wxrdie, Bình Gold, 2pillz",Em iu,$maker Music,18,63,36,232634,1,2022-01-30,180.0
74,"Obito, Shiki",Tell the kids i love them,12 trái lê,30,71,16,226813,1,2023-10-10,224.0
75,Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,Universal Music Indochina Distributed Labels,1,75,163,225752,1,2020-12-20,302.0
76,"Wren Evans, itsnk",Quyền Anh,Universal Music Indochina,35,73,7,223792,1,2023-12-17,179.0
77,Da LAB,Thức Giấc,Yin Yang Media,1,86,134,222863,1,2021-07-14,269.0
78,Vũ.,Lạ Lùng,WM Vietnam,17,66,304,222372,1,2016-12-24,262.0
79,"Wren Evans, itsnk",Tình Yêu Vĩ Mô,Universal Music Indochina,36,78,7,219289,1,2023-12-17,184.0
80,Lãng,Nụ hôn Bisou,12 trái lê,10,74,28,218721,1,2022-10-28,157.0
81,"Lil Wuyn, 16 BrT, 16 Typh",TOKYO Cypher,12 trái lê,45,80,13,214360,1,2023-10-12,179.0
82,UMIE,Không Yêu Xin Đừng Nói - Piano Version,LOOPS Music,37,88,48,213329,1,2022-01-22,244.0
83,"14 Casper, Bon Nghiêm",bao tiền một mớ bình yên?,DANDERLÉON,9,81,145,211549,1,2023-03-03,300.0
84,Myra Trần,Anh Chưa Thương Em Đến Vậy Đâu,Sony Music Entertainment,6,93,56,208987,1,2023-01-04,271.0
85,PC,10 Ngàn Năm,12 trái lê,61,84,86,208326,1,2019-12-21,240.0
86,"BigDaddy, Emily",Ngõ Chạm,LOOPS Music,41,96,26,205027,1,2023-08-03,232.0
87,Low G,Tán Gái 505,Rap Nhà Làm,65,85,37,204174,1,2021-05-31,156.0
88,"W/N, Duongg, Nâu",3 1 0 7 (feat. Duongg & Nâu),"HONG AN ENTERTAIMENT,.JSC",11,87,182,202593,1,2020-05-11,235.0
89,Ronboogz,Nói Dối,MaiDao Music,79,79,13,198545,1,2022-12-12,206.0
90,"W/N, Duongg, Nau, titie",3107 3,Universal Music Indochina Distributed Labels,1,91,131,197399,1,2021-07-31,240.0
91,tlinh,tình yêu có nghĩa là gì?,Universal Music Indochina Distributed Labels,7,82,25,197298,1,2023-08-16,134.0
92,HYBS,Tip Toe,JUICEY,52,89,10,194623,1,2023-06-20,225.0
93,"Wren Evans, itsnk",Lối Chơi (Interlude),Universal Music Indochina,48,92,7,194078,1,2023-12-17,143.0
94,"Wren Evans, itsnk",ĐĐĐ,Universal Music Indochina,56,97,7,190785,1,2023-12-17,217.0
95,"W/N, ERIK, Nau","3107 4 (feat. Erik, Nâu)",Universal Music Indochina Distributed Labels,24,100,42,189511,1,2022-07-31,214.0
96,B Ray,Anh Luôn Như Vậy,MIXUS,10,95,17,187728,1,2023-10-05,213.0
97,buitruonglinh,Dù Cho Mai Về Sau,Yin Yang Media,10,106,150,184530,1,2020-11-17,234.0
98,"PhucXp, Freak D",Như Anh Đã Thấy Em,MaiDao Music,33,98,58,182878,1,2022-05-20,302.0
99,"W/N, 267",id 2022 (feat. 267),W NATION,61,76,5,180747,1,2023-12-31,242.0
100,Sơn Tùng M-TP,Muộn Rồi Mà Sao Còn,Universal Music Indochina Distributed Labels,1,107,145,180151,1,2021-04-29,276.0
101,"AMEE, Hoàng Dũng",từ thích thích thành thương thương,Yin Yang Media,6,101,115,179386,1,2020-12-16,204.0
102,Thịnh Suy,Chết Trong Em,InQ International,4,104,66,176818,1,2022-11-17,257.0
103,Low G,Bảo Tàng,Nhà Hóa Học Đống Đa,33,99,9,176472,1,2023-11-29,185.0
104,"GREY D, Orange, Kai Đinh",lời tạm biệt chưa nói,Universal Music Indochina Distributed Labels,22,109,80,174733,1,2022-07-24,259.0
105,"Kai Đinh, MIN, GREY D",để tôi ôm em bằng giai điệu này,Yin Yang Media,18,116,58,173172,1,2022-12-22,265.0
106,Thịnh Suy,tiny love,Yin Yang Media,3,110,113,172981,1,2021-12-05,158.0
107,"VSOUL, MFREE, TUYEN VO",NGTANOISE,VSOUL,83,114,29,172179,1,2022-09-12,179.0
108,"The Masked Singer, Voi Bản Đôn",Ngày Mai Người Ta Lấy Chồng (feat. Voi Bản Đôn),THE MASKED SINGER,39,123,24,170018,1,2023-08-13,317.0
109,Madihu,Không Còn Em,WM Vietnam,17,105,28,169649,1,2023-07-20,235.0
110,"Andiez, AMEE",Anh Đánh Rơi Người Yêu Này,MaiDao Music,19,119,65,167009,1,2019-07-15,218.0
111,"JustaTee, BigDaddy",2AM,WM Vietnam,18,122,92,166652,1,2022-05-10,258.0
